SMILES,log CMC
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],3.9074651067658563
CCCCCCCCOS(=O)(=O)[O-].[Na+],5.113609151073028
CCCCCCCCCCOS(=O)(=O)[O-].[Na+],4.513217600067939
CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],3.311753861055754
CCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],4.658964842664435
CCCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],3.514547752660286
CCCCCCCCCCC(CCC)OS(=O)(=O)[O-].[Na+],3.709269960975831
CCCCCCCCCCCCS(=O)(=O)[O-].[K+],3.9542425094393248
CCCC(=O)O,6.243038048686294
CCCCCCCC(=O)[O-].[K+],5.536432175822013
CCCCCCCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],4.041392685158225
CCCCCCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],2.342422680822206
CCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],2.146128035678238
CCCCCCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],2.0
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],2.0
CCCCCCCCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],2.041392685158225
CCCCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],1.845098040014257
CCCCCCCCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],1.6989700043360187
CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],1.6020599913279623
CCCCCCCC/C=C\CCCCCCCCOS(=O)(=O)[O-].[Na+],2.4771212547196626
CCCCCCCCC(Cl)C(Cl)CCCCCCCCOS(=O)(=O)[O-].[Na+],2.4913616938342726
CCCCCCCCCC(=O)[O-].[K+],4.977723605288848
CCCCCCCCCCCC(=O)[O-].[K+],4.3979400086720375
CCCCCCCCCCCCCC(=O)[O-].[K+],3.7634279935629373
CCCCCCCCCCCCOS(=O)(=O)[O-].[Li+],3.9429995933660407
CCCCCCCCCCCCOS(=O)(=O)[O-].C[N+](C)(C)C,3.741939077729199
CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],2.0
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],1.7781512503836436
CCCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].[Na+],3.2695129442179165
CCCCCCCCCCCCS(=O)(=O)[O-].[Na+],3.9912260756924947
CCCCCCCCS(=O)(=O)[O-].[Na+],5.190331698170292
CCCCCC(=O)[O-].[K+],6.190331698170292
CCCCCCCCCCCCC(C(=O)O)S(=O)(=O)O,3.716003343634799
CCCCCCCCCCCCCCC(C(=O)OCCS(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+],4.033423755486949
CCCCCCCCCCCCCCCCC(C(=O)OCCS(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+],3.4899584794248346
CCCCCCCCCCCCS(=O)(=O)O,3.929418925714293
CCCCOC(=O)CC(C(=O)OCCCC)S(=O)(=O)[O-].[Na+],5.301029995663981
CCCCCOC(=O)CC(C(=O)OCCCCC)S(=O)(=O)[O-].[Na+],4.724275869600789
CCCCCCOC(=O)CC(C(=O)OCCCCCC)S(=O)(=O)[O-].[Na+],4.093421685162235
CCCCCCCCOC(=O)CC(C(=O)OCCCCCCCC)S(=O)(=O)[O-].[Na+],2.832508912706236
CC(C)COC(=O)CC(C(=O)OCC(C)C)S(=O)(=O)[O-].[Na+],5.301029995663981
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+],3.3979400086720375
CCCCCCCC/C=C\CCCCCCCC(=O)[O-].[Na+],3.322219294733919
CCCCCCCCCCCC(=O)[O-].[Na+],4.38738982633873
CCCCCCCCCCCC(=O)[O-].C[N+](C)(C)Cc1ccccc1,4.0
CCCCCCCCCCCCOS(=O)(=O)[O-].CCCCCCCCCC[N+](C)(C)C,2.322219294733919
CCCCCCCCCCCCOS(=O)(=O)[O-].CCCCCCCCCCCC[N+](C)(C)C,1.4771212547196624
CCCCCCCCS(=O)(=O)[O-].CCCCCCCC[N+](C)(C)C,4.3044905277734875
CCCCCCCCCCS(=O)(=O)[O-].CCCCCCCCCC[N+](C)(C)C,3.1335389083702174
CCCCCCCCCOS(=O)(=O)[O-].[Na+],4.810098040681143
CCCCCCC(=O)[O-].[K+],5.8750612633917
CCCCCCCCCCC(=O)[O-].[K+],4.698970004336019
CCCCCCCCCCCCCC(=O)[O-].[Na+],3.838849090737255
CCCCCCCCCC(=O)[O-].[Na+],4.973127853599698
CCCCCCCCCCCCc1cccc(S(=O)(=O)[O-])c1.[Na+],3.164352855784437
CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],3.2013971243204513
CCCCCCCC/C=C\CCCCCCCC(=O)[O-].[K+],2.9777236052888476
CCCCCCCCCCCOS(=O)(=O)[O-].[Na+],4.204119982655925
CCCCCCS(=O)(=O)[O-].CCCCCCS(=O)(=O)[O-].[Mg+2],5.799340549453582
CCCCCCCCS(=O)(=O)[O-].CCCCCCCCS(=O)(=O)[O-].[Mg+2],5.041392685158225
CCCCCS(=O)(=O)[O-].[Na+],5.99563519459755
CCCCCCS(=O)(=O)[O-].[Na+],5.662757831681574
CCCCCCCCCCOS(=O)(=O)[O-].CCCCCCCCCC[N+](C)(C)C,2.662757831681574
CCCCCCCCOS(=O)(=O)[O-].CCCCCCCC[N+](C)(C)C,3.8750612633917
CCCCCCCCC(=O)[O-].[K+],5.301029995663981
CCCCCCCCCCCCC(=O)[O-].[K+],4.079181246047625
CC(C)CC(C)OC(=O)CC(C(=O)OC(C)CC(C)C)S(=O)(=O)[O-].[Na+],4.477121254719663
CCCCCCCCCCS(=O)(=O)[O-].CCCCCCCC[N+](C)(C)C,3.7596678446896306
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,5.176091259055681
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,4.477121254719663
CCCCCCCCCCCCOS(=O)(=O)[O-].CC[N+](C)(C)C,3.6334684555795866
CCCCCCCCCCCCOS(=O)(=O)[O-].CCCC[N+](C)(C)C,3.376576957056512
CCCCCCCCCCCCOS(=O)(=O)[O-].CCCCCC[N+](C)(C)C,3.0969100130080562
CCCCCCCCCCCCOS(=O)(=O)[O-].CCCCCCCC[N+](C)(C)C,2.6020599913279625
CCCCCCCCCCCCOS(=O)(=O)[O-].[NH4+],3.7895807121644256
CCCCCCCCCCCCOS(=O)(=O)[O-].C[NH3+],3.7558748556724915
CCCCCCCCCCCCOS(=O)(=O)[O-].CC[NH3+],3.6989700043360187
CCCCCCCCCCCCOS(=O)(=O)[O-].CCCC[NH3+],3.4653828514484184
CCCCCCCCCCCCOS(=O)(=O)[O-].CCCCCCCC[NH3+],2.4471580313422194
CCCCCCCCCCCS(=O)(=O)[O-].[Na+],4.278753600952829
CCCCCCCCCC(CCCCCCC)CS(=O)(=O)[O-].[Na+],2.5563025007672873
CCCCCCC(C(=O)[O-])C(C(=O)[O-])C(=O)[O-].[K+].[K+].[K+],5.897627091290442
CCCCCCCCCCC(C(=O)[O-])C(C(=O)[O-])C(=O)[O-].[K+].[K+].[K+],4.977723605288848
CCCCCCCCCCCCCCC(C(=O)[O-])C(C(=O)[O-])C(=O)[O-].[K+].[K+].[K+],4.079181246047625
O=C(O)C(F)(F)F,6.414973347970818
O=C(O)C(F)(F)C(F)(F)F,3.0453229787866576
O=C(O)C(F)(F)C(F)(F)C(F)(F)F,5.724275869600789
O=C(O)C(F)(F)C(F)(Cl)C(F)(F)Cl,5.845098040014257
O=C(O)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)Cl,4.7923916894982534
O=C(O)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)Cl,3.9590413923210934
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.681241237375587
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[K+],4.457881896733992
CCCCCCCCCCCC(=O)OCC(O)COS(=O)(=O)[O-].[Na+],3.716003343634799
CCCCCCCC(=O)[O-].[Na+],5.531478917042255
CCCCC(=O)[O-].[Na+],6.371067862271736
CCCCCC(=O)[O-].[Na+],6.195899652409234
CCCCCCC(=O)[O-].[Na+],5.977723605288848
CCCCCCCCC(=O)[O-].[Na+],5.342422680822207
CCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],3.662757831681574
CCCCCCCCCS(=O)(=O)O,4.6020599913279625
CCCCCCCCCCCS(=O)(=O)O,4.176091259055681
CCCCCCCCCCCCOS(=O)(=O)[O-].CCCCCCCCCCCCOS(=O)(=O)[O-].[Mn+2],3.041392685158225
CCCCCCCCCCCC(=O)[O-].[Cs+],4.3979400086720375
CCCCCCCCCC.CCCCCCCC[N+](C)(C)C.CCCCCCCC[N+](C)(C)C.O=S(=O)([O-])[O-],3.278753600952829
CCCCCCCCCCCC[N+](C)(C)C.CCCCCCCCOS(=O)(=O)[O-],2.6532125137753435
CCCCCCCCC(C(=O)[O-])C(=O)[O-].[K+].[K+],5.477121254719663
CCCCCCCCCCCCC(C(=O)[O-])C(=O)[O-].[K+].[K+],4.698970004336019
CCCCCCCCCCCCCCC(C(=O)[O-])C(=O)[O-].[K+].[K+],4.2552725051033065
CCCCCCCCCCCCCCCCC(C(=O)[O-])C(=O)[O-].[K+].[K+],3.7993405494535817
CCCCCCCCCCCCCCCCCCC(C(=O)[O-])C(=O)[O-].[K+].[K+],3.361727836017593
CC(C)(C)CC(C)(C)c1cccc(S(=O)(=O)[O-])c1.[Na+],3.9242792860618816
CC(C)(C)CC(C)(C)c1cc(C(C)(C)CC(C)(C)C)cc(S(=O)(=O)[O-])c1.[Na+],3.0
CCCCCCCCC(C)(C)c1ccc(S(=O)(=O)[O-])cc1.[Na+],3.4771212547196626
CCCCC(CCCC)CCc1ccc(S(=O)(=O)[O-])cc1.[Na+],3.5185139398778875
CCCCC(C)CC(CCC)Cc1ccc(S(=O)(=O)[O-])cc1.[Na+],3.230448921378274
