no,smiles,exp,traintest,pred,type,err,Molecules,cluster
0,CCCCCCCCC(O)CO,3.361727836,train,3.284244,nonionic,0.0060037354631995,<rdkit.Chem.rdchem.Mol object at 0x000001BED60DAEA0>,0
1,CCCCCCCCC(O)CCO,3.361727836,train,3.2403183,nonionic,0.0147402758348529,<rdkit.Chem.rdchem.Mol object at 0x000001BED60D8A50>,0
2,CCCCCCCCCCCCC(O)CCO,1.113943352,train,1.1944386,nonionic,0.0064794811992303,<rdkit.Chem.rdchem.Mol object at 0x000001BED60D8820>,0
3,CCCCCCCCOCCO,3.69019608,train,3.6691136,nonionic,0.0004444694443028,<rdkit.Chem.rdchem.Mol object at 0x000001BED60DB680>,16
4,CCCCCCCCOCCOCCOCCO,3.875061263,train,3.8572426,nonionic,0.0003175053131613,<rdkit.Chem.rdchem.Mol object at 0x000001BED60DBD10>,16
5,CCCCCCCCOCCOCCOCCOCCOCCO,3.963787827,train,3.953247,nonionic,0.000111107551545,<rdkit.Chem.rdchem.Mol object at 0x000001BED60DB3E0>,16
6,CCCCCCCCOCCOCCOCCOCCOCCOCCO,3.995635195,train,3.9586515,nonionic,0.0013677905401416,<rdkit.Chem.rdchem.Mol object at 0x000001BED60DAAB0>,16
7,CCCCCCCCCCOCCOCCOCCOCCO,2.8325089130000003,train,2.697473,nonionic,0.0182346845219838,<rdkit.Chem.rdchem.Mol object at 0x000001BED60DBB50>,16
8,CCCCCCCCCCOCCOCCOCCOCCOCCO,2.880813592,test,2.8376794,nonionic,0.0018605597152663,<rdkit.Chem.rdchem.Mol object at 0x000001BED60DA880>,16
9,CCCCCCCCCCOCCOCCOCCOCCOCCOCCO,2.954242509,train,2.9921823,nonionic,0.0014394243107054,<rdkit.Chem.rdchem.Mol object at 0x000001BED60DBC30>,16
10,CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,3.0,train,2.9464297,nonionic,0.0028697738855498,<rdkit.Chem.rdchem.Mol object at 0x000001BED60D8740>,16
11,CCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,2.477121255,train,2.4155352,nonionic,0.0037928407462104,<rdkit.Chem.rdchem.Mol object at 0x000001BED60DA650>,16
12,CCCCCCCCCCCCOCCOCCO,1.51851394,train,1.5692351,nonionic,0.0025726346962934,<rdkit.Chem.rdchem.Mol object at 0x000001BED60DBDF0>,16
13,CCCCCCCCCCCCOCCOCCOCCO,1.716003344,train,1.6006217,nonionic,0.0133129237059447,<rdkit.Chem.rdchem.Mol object at 0x000001BED60DBED0>,16
14,CCCCCCCCCCCCOCCOCCOCCOCCO,1.806179974,test,1.6461127,nonionic,0.025621538469166,<rdkit.Chem.rdchem.Mol object at 0x000001BED60DA9D0>,16
15,CCCCCCCCCCCCOCCOCCOCCOCCOCCO,1.806179974,train,1.7074666,nonionic,0.0097443297473599,<rdkit.Chem.rdchem.Mol object at 0x000001BED60DB5A0>,16
16,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,1.913813852,train,1.911649,nonionic,4.686633004834184e-06,<rdkit.Chem.rdchem.Mol object at 0x000001BED5EF5000>,16
17,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,2.0374264980000003,train,1.9000925,nonionic,0.0188606317949973,<rdkit.Chem.rdchem.Mol object at 0x000001BED5EF4890>,16
18,CCCCCCCCCCCCCOCCOCCOCCOCCOCCO,1.69019608,train,1.0863496,nonionic,0.3646305635415062,<rdkit.Chem.rdchem.Mol object at 0x000001BED5EF5B60>,16
19,CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,1.431363764,train,1.3871768,nonionic,0.0019524920214943,<rdkit.Chem.rdchem.Mol object at 0x000001BED5EF5EE0>,16
20,CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,1.0,train,0.64704585,nonionic,0.1245766314701199,<rdkit.Chem.rdchem.Mol object at 0x000001BED5EF70D0>,16
21,CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.954242509,train,0.926645,nonionic,0.0007616235568196,<rdkit.Chem.rdchem.Mol object at 0x000001BED5EF4F20>,16
22,CCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.544068044,train,0.5070922,nonionic,0.0013672146762197,<rdkit.Chem.rdchem.Mol object at 0x000001BED5EF5310>,16
23,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,0.220108088,train,0.047548473,nonionic,0.0297768207699079,<rdkit.Chem.rdchem.Mol object at 0x000001BED5EF7CA0>,16
24,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,0.230448921,train,0.113765955,nonionic,0.0136149145612516,<rdkit.Chem.rdchem.Mol object at 0x000001BED5EF40B0>,16
25,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.322219295,train,0.36898327,nonionic,0.0021868692397489,<rdkit.Chem.rdchem.Mol object at 0x000001BED5EF7760>,16
26,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.361727836,test,0.4445942,nonionic,0.0068668350160823,<rdkit.Chem.rdchem.Mol object at 0x000001BED5EF4F90>,16
27,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.4913616939999999,train,0.47900456,nonionic,0.0001526987137098,<rdkit.Chem.rdchem.Mol object at 0x000001BED5EF43C0>,16
28,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.5910646070000001,train,0.54269004,nonionic,0.0023400988600466,<rdkit.Chem.rdchem.Mol object at 0x000001BED5D921F0>,16
29,CCCCCCCCCCCC(=O)N(CCO)CCO,2.421603927,train,2.2256155,nonionic,0.0384114629676738,<rdkit.Chem.rdchem.Mol object at 0x000001BED616EF80>,18
30,OCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.397940009,train,3.5434766,nonionic,0.0211808939564377,<rdkit.Chem.rdchem.Mol object at 0x000001BED616F300>,41
31,OCCOCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.4471580310000003,test,3.619286,nonionic,0.0296280584821487,<rdkit.Chem.rdchem.Mol object at 0x000001BED616D3F0>,41
32,OCCOCCOCCOCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.568201724,train,3.7408032,nonionic,0.0297912839226085,<rdkit.Chem.rdchem.Mol object at 0x000001BED616F1B0>,41
33,OCCOCCOCCOCCOCCOCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.681241237,train,3.816081,nonionic,0.0181817743765059,<rdkit.Chem.rdchem.Mol object at 0x000001BED616C350>,41
34,CCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,4.919078092,train,4.7453995,nonionic,0.0301642619691108,<rdkit.Chem.rdchem.Mol object at 0x000001BED616ED50>,14
35,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,2.51851394,train,2.4833918,nonionic,0.0012335674029325,<rdkit.Chem.rdchem.Mol object at 0x000001BED616EC70>,42
36,CC(C)(C)CC(C)(C)c1ccc(OCCOCCO)cc1,2.113943352,train,2.1042469,nonionic,9.40220582966499e-05,<rdkit.Chem.rdchem.Mol object at 0x000001BED616FD10>,42
37,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCO)cc1,1.986771734,train,2.1030426,nonionic,0.0135189148708279,<rdkit.Chem.rdchem.Mol object at 0x000001BED616F220>,42
38,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCO)cc1,2.113943352,train,2.1523724,nonionic,0.0014767886735023,<rdkit.Chem.rdchem.Mol object at 0x000001BED616D310>,42
39,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCO)cc1,2.176091259,train,2.2032099,nonionic,0.0007354194429979,<rdkit.Chem.rdchem.Mol object at 0x000001BED616F920>,42
40,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCO)cc1,2.322219295,train,2.2456942,nonionic,0.0058560962161468,<rdkit.Chem.rdchem.Mol object at 0x000001BED616EFF0>,42
41,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCO)cc1,2.397940009,train,2.3323913,nonionic,0.0042966382261326,<rdkit.Chem.rdchem.Mol object at 0x000001BED616F610>,42
42,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCO)cc1,2.447158031,train,2.4087071,nonionic,0.0014784708744091,<rdkit.Chem.rdchem.Mol object at 0x000001BED616C270>,42
43,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,2.477121255,test,2.4474244,nonionic,0.0008819024976085,<rdkit.Chem.rdchem.Mol object at 0x000001BED616E0A0>,42
44,CCCCCCCCC=CCCCCCCCC(=O)OC1(OC2(CO)OC(CO)C(O)C2O)OC(CO)C(O)C(O)C1O,0.7075701759999999,train,0.6024876,nonionic,0.0110423427996562,<rdkit.Chem.rdchem.Mol object at 0x000001BED616D620>,-1
45,CCCCCCCCCC(=O)CC(=O)NC1CCOC1=O,1.986771734,train,1.9484068,nonionic,0.0014718669692964,<rdkit.Chem.rdchem.Mol object at 0x000001BED616C040>,37
46,CCCCCC(=O)CC(=O)NC1CCOC1=O,3.336459734,train,3.279521,nonionic,0.0032420207431728,<rdkit.Chem.rdchem.Mol object at 0x000001BED616D2A0>,37
47,CCCCCCCCCCCC(=O)NC1CCOC1=O,0.602059991,train,0.59021795,nonionic,0.0001402339833635,<rdkit.Chem.rdchem.Mol object at 0x000001BED616CD60>,36
48,CCCCCCCCCCCCCCCC(=O)NC1CCOC1=O,-0.795880017,train,-1.0323375,nonionic,0.0559121631856306,<rdkit.Chem.rdchem.Mol object at 0x000001BED616CEB0>,36
49,CCCCCCCCOCC(O)CO,3.763427994,train,3.7424865,nonionic,0.0004385471385252,<rdkit.Chem.rdchem.Mol object at 0x000001BED616C120>,1
50,CCCCCCCCOC1OC(CO)C(O)C(O)C1O,4.397940009,train,4.182318,nonionic,0.0464927599444711,<rdkit.Chem.rdchem.Mol object at 0x000001BED616C9E0>,3
51,CCCCOCC(O)C(O)C(O)CO,4.763427994,train,4.5831633,nonionic,0.0324953738144555,<rdkit.Chem.rdchem.Mol object at 0x000001BED616E180>,1
52,CCCCCCCCCC(=O)OCC(O)C(O)C(O)CO,3.255272505,train,3.188056,nonionic,0.0045180596028781,<rdkit.Chem.rdchem.Mol object at 0x000001BED616CF90>,15
53,CCCCCCC(=O)OCC(O)C(O)C(O)CO,4.0,train,4.112757,nonionic,0.0127141874966127,<rdkit.Chem.rdchem.Mol object at 0x000001BED616E6C0>,15
54,CCCCCCCOCC(O)C(O)C(O)CO,3.963787827,test,3.9240732,nonionic,0.0015772500648191,<rdkit.Chem.rdchem.Mol object at 0x000001BED616F760>,1
55,CCCCCC(=O)OCC(O)C(O)C(O)CO,4.763427994,train,4.6680546,nonionic,0.0090960879666906,<rdkit.Chem.rdchem.Mol object at 0x000001BED616E650>,15
56,CCCCCCOCC(O)C(O)C(O)CO,3.973127854,train,3.817071,nonionic,0.0243537538532706,<rdkit.Chem.rdchem.Mol object at 0x000001BED616D850>,1
57,CCCCCCCCC(=O)OCC(O)C(O)C(O)CO,3.643452676,test,3.7066336,nonionic,0.0039918250899142,<rdkit.Chem.rdchem.Mol object at 0x000001BED616D770>,15
58,CCCCCCCCCOCC(O)C(O)C(O)CO,3.322219295,train,3.3658113,nonionic,0.0019002670813917,<rdkit.Chem.rdchem.Mol object at 0x000001BED616DFC0>,1
59,CCCCCCCC(=O)OCC(O)C(O)C(O)CO,4.255272505,train,3.9471827,nonionic,0.094919355466927,<rdkit.Chem.rdchem.Mol object at 0x000001BED616D930>,15
60,CCCCCCCCOCC(O)C(O)C(O)CO,3.826074803,train,3.838194,nonionic,0.0001468723529139,<rdkit.Chem.rdchem.Mol object at 0x000001BED616E3B0>,1
61,CCCCC(=O)OCC(O)C(O)C(O)CO,5.079181246,train,5.3023543,nonionic,0.0498062280041444,<rdkit.Chem.rdchem.Mol object at 0x000001BED616F370>,15
62,CCCCCOCC(O)C(O)C(O)CO,4.579783597,train,4.426637,nonionic,0.0234538272761895,<rdkit.Chem.rdchem.Mol object at 0x000001BED616EE30>,1
63,CCCCSCC(O)C(O)C(O)CO,5.255272505,train,5.1625586,nonionic,0.0085958764127843,<rdkit.Chem.rdchem.Mol object at 0x000001BED616C4A0>,2
64,CCCCCSCC(O)C(O)C(O)CO,4.662757832,train,4.675654,nonionic,0.0001663094591426,<rdkit.Chem.rdchem.Mol object at 0x000001BED616F0D0>,2
65,CCCCCC(CCCC)OC1OC(CO)C(O)C(O)C1O,4.176091259,train,4.2541385,nonionic,0.0060913670974328,<rdkit.Chem.rdchem.Mol object at 0x000001BED616E9D0>,7
66,CCCCCCCC(CC)OC1OC(CO)C(O)C(O)C1O,3.929418926,train,3.9631906,nonionic,0.0011405229639827,<rdkit.Chem.rdchem.Mol object at 0x000001BED616FED0>,7
67,CCCCCCCCC(C)OC1OC(CO)C(O)C(O)C1O,3.653212514,train,3.4748392,nonionic,0.0318170353978449,<rdkit.Chem.rdchem.Mol object at 0x000001BED616D460>,7
68,CCCCCCC(CCC)OC1OC(CO)C(O)C(O)C1O,4.079181246,test,4.2755446,nonionic,0.0385585838392948,<rdkit.Chem.rdchem.Mol object at 0x000001BED616D700>,7
69,CCCCCCCCCCCC(=O)OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,2.51851394,train,2.530078,nonionic,0.0001337259633641,<rdkit.Chem.rdchem.Mol object at 0x000001BED616F4C0>,9
70,CCCCCCCC(CCCCCC)SCCC(=O)OCC1(O)C(O)C(O)C(O)C1O,0.7993405490000001,train,0.7082222,nonionic,0.0083025516279017,<rdkit.Chem.rdchem.Mol object at 0x000001BED616EB90>,-1
71,CCCCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,3.826074803,train,3.606759,nonionic,0.0480993901491319,<rdkit.Chem.rdchem.Mol object at 0x000001BED616FC30>,13
72,CCCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,4.322219295,test,4.084682,nonionic,0.0564239723296656,<rdkit.Chem.rdchem.Mol object at 0x000001BED616EF10>,13
73,CCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,4.838849091,train,4.714496,nonionic,0.0154636574889414,<rdkit.Chem.rdchem.Mol object at 0x000001BED616C190>,13
74,CCCCCCCCCCCC(=O)OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,2.977723605,train,2.9766302,nonionic,1.195510709381203e-06,<rdkit.Chem.rdchem.Mol object at 0x000001BED616F530>,9
75,CCCCCCCCCCCC(=O)OCC1OC(OCC2OC(OCC3OC(OC4(CO)OC(CO)C(O)C4O)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,3.361727836,train,3.2954545,nonionic,0.0043921547854636,<rdkit.Chem.rdchem.Mol object at 0x000001BED616C510>,9
76,CCCCCCCCCCCC(=O)OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,2.662757832,train,2.5583057,nonionic,0.0109102394487135,<rdkit.Chem.rdchem.Mol object at 0x000001BED616CA50>,9
77,CCCCCCCCCCSCC(O)C(O)C(O)CO,2.602059991,train,2.5531292,nonionic,0.0023942226829899,<rdkit.Chem.rdchem.Mol object at 0x000001BED616EAB0>,2
78,CCCCCCCCCCSC1OC(=O)C(O)C1O,1.51851394,train,1.4228421,nonionic,0.0091530923650037,<rdkit.Chem.rdchem.Mol object at 0x000001BED616EEA0>,19
79,CCCCCCSCC(O)C(O)C(O)CO,4.079181246,train,4.0485787,nonionic,0.0009365134245091,<rdkit.Chem.rdchem.Mol object at 0x000001BED616C740>,2
80,CCCCCCSC1OC(=O)C(O)C1O,3.826074803,test,3.963265,nonionic,0.0188211342852615,<rdkit.Chem.rdchem.Mol object at 0x000001BED6178BA0>,19
81,CCCCCCCCSCC(O)C(O)C(O)CO,3.079181246,train,3.2846437,nonionic,0.0422147994800319,<rdkit.Chem.rdchem.Mol object at 0x000001BED6179E00>,2
82,CCCCCCCCSC1OC(=O)C(O)C1O,2.681241237,train,2.5351217,nonionic,0.0213509251406813,<rdkit.Chem.rdchem.Mol object at 0x000001BED61795B0>,19
83,CCCCCCCC(=O)NC1C(O)OC(CO)C(O)C1O,4.653212514,train,4.471777,nonionic,0.0329188594278415,<rdkit.Chem.rdchem.Mol object at 0x000001BED6179380>,17
84,CCCCCCCC(=O)NC1OC(CO)C(O)C(O)C1O,4.84509804,train,4.7938113,nonionic,0.0026303275192651,<rdkit.Chem.rdchem.Mol object at 0x000001BED6179540>,17
85,CC(C)CCCC(C)CCOC1OC(CO)C(O)C(O)C1O,3.6020599910000004,train,3.5044785,nonionic,0.0095221562481667,<rdkit.Chem.rdchem.Mol object at 0x000001BED6178C80>,8
86,CC(C)CCCC(C)CCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,3.72427587,train,3.6346426,nonionic,0.0080341229092629,<rdkit.Chem.rdchem.Mol object at 0x000001BED6179770>,8
87,CC(C)CCCC(C)CCOC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C1O,3.698970004,train,3.6901383,nonionic,7.799828907358065e-05,<rdkit.Chem.rdchem.Mol object at 0x000001BED6179BD0>,8
88,CCCCCCCCCOC1OC(CO)C(O)C(O)C1N,3.84509804,train,3.8915963,nonionic,0.0021620897910548,<rdkit.Chem.rdchem.Mol object at 0x000001BED6179A10>,6
89,CCCCCCCCOC1OC(CO)C(O)C(O)C1N,4.361727836,train,4.441546,nonionic,0.0063709334436601,<rdkit.Chem.rdchem.Mol object at 0x000001BED6178D60>,6
90,CCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,3.113943352,train,3.0483656,nonionic,0.0043004424811616,<rdkit.Chem.rdchem.Mol object at 0x000001BED61791C0>,12
91,CCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,3.361727836,train,3.1523533,nonionic,0.0438377018765032,<rdkit.Chem.rdchem.Mol object at 0x000001BED61786D0>,10
92,CCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,2.146128036,train,2.01235,nonionic,0.017896540870083,<rdkit.Chem.rdchem.Mol object at 0x000001BED6178350>,12
93,CCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,2.397940009,train,2.4062436,nonionic,6.89490040216181e-05,<rdkit.Chem.rdchem.Mol object at 0x000001BED6178120>,10
94,CCCCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,0.968482949,train,0.8577275,nonionic,0.0122667633654139,<rdkit.Chem.rdchem.Mol object at 0x000001BED6179690>,10
95,CCCCCCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,0.51851394,train,0.55290306,nonionic,0.0011826113092146,<rdkit.Chem.rdchem.Mol object at 0x000001BED6179930>,10
96,CCCCCCCCC=CCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,1.5051499780000002,train,1.5661364,nonionic,0.003719338809997,<rdkit.Chem.rdchem.Mol object at 0x000001BED6178430>,12
97,CCCCCCCCC=CCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,1.73239376,train,1.5869403,nonionic,0.0211567123586883,<rdkit.Chem.rdchem.Mol object at 0x000001BED61780B0>,10
98,CCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,1.380211242,train,1.0523192,nonionic,0.1075132115070583,<rdkit.Chem.rdchem.Mol object at 0x000001BED6179000>,12
99,CCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,1.556302501,test,1.5175246,nonionic,0.0015037256037173,<rdkit.Chem.rdchem.Mol object at 0x000001BED6178E40>,10
100,CCCCCCCCCCCC(=O)N(C)CC(O)CO,2.361727836,train,2.1329453,nonionic,0.0523414491681807,<rdkit.Chem.rdchem.Mol object at 0x000001BED6178A50>,13
