,fingerprint_index,SMILES
1465178872,318,[CH2][CH2][CH2][CH2][n+]
2540287087,319,[cH][n+]([cH])[CH2][CH2][CH2]
1990104767,320,[cH][cH][n+]([cH][cH])[CH2][CH2]
1686867986,321,[cH][cH][cH][n+]([cH])[CH2]
1203190805,322,[cH][cH][cH][cH][n+]
633535084,323,[cH][cH][cH][cH][cH]
1979065791,324,[cH][cH][cH][cH][n+]
1302177307,325,[I-]
3073107754,326,[I-]
3322176289,327,[CH2][N+]([CH3])([CH3])[CH2]
921809588,328,[CH3][CH2][N+]
2089578150,329,[CH2][CH2][CH2][N+]([CH3])([CH3])[CH2]
1211484075,330,[CH2][CH2][N+]([CH3])([CH3])[CH2][CH3]
2228762966,331,[CH3][CH2][N+]([CH2])([CH3])[CH3]
3462713981,332,[CH2][CH2][N+]([CH3])([CH3])[CH2][CH2]
3353269358,333,[CH3][CH2][CH2][CH2][N+]
1938109897,334,[CH2][CH2][CH2][CH2][N+]
1286939749,335,[CH2][N+]([CH2])([CH2])[CH2]
2050458021,336,[CH2][CH2][CH2][N+]([CH2])([CH2])[CH2]
2299724452,337,[CH2][CH2][N+]([CH2][CH3])([CH2][CH3])[CH2][CH3]
2187581013,338,[CH3][CH2][N+]([CH2])([CH2])[CH2]
167377009,339,[CH2][CH2][N+]([CH2][CH2])([CH2][CH2])[CH2][CH2]
4234581107,340,[CH3][CH2][CH2][N+]([CH2])([CH2])[CH2]
4250123158,341,[CH3][CH2][CH2][N+]
616617316,342,[c][CH2][N+]
3621312927,343,[cH][c]([cH])[CH2]
3577729846,344,[c][CH2][N+]([CH3])([CH3])[CH2][CH2]
3315927372,345,[cH][c]([cH])[CH2][N+]([CH2])([CH3])[CH3]
2256127832,346,[cH][cH][c]([cH][cH])[CH2][N+]
1386444742,347,[cH][cH][cH][c]([cH])[CH2]
304999553,348,[c][cH][cH][cH][cH]
2817429550,349,[c][cH][cH][cH][cH]
1855747504,350,[NH2+]
1872296144,351,[CH2][CH2][NH2+]
1388585467,352,[CH2][NH2+][CH2]
5892829,353,[CH2][CH2][CH2][CH2][NH2+]
1726319219,354,[CH2][CH2][NH2+][CH2][CH2]
2051503944,355,[CH2][NH2+][CH2][CH2][OH]
710819572,356,[NH2+][CH2][CH2][OH]
3527494607,357,[NH+]
1374326183,358,[CH2][CH2][NH+]
3491839826,359,[CH2][NH+][CH2]
2028199580,360,[CH2][CH2][CH2][CH2][NH+]
2986993041,361,[CH2][CH2][NH+][CH2][CH2]
3414460360,362,[NH+][CH2][CH2][OH]
1127585880,363,[N+]
3883108641,364,[CH2][CH2][N+]
3591372450,365,[CH2][N+][CH2]
2936323764,366,[CH2][CH2][CH2][CH2][N+]
4088424764,367,[CH2][CH2][CH2][N+][CH2]
1969785121,368,[CH2][CH2][N+][CH2][CH2]
1048144381,369,[CH2][N+][CH2][CH2][OH]
49634704,370,[N+][CH2][CH2][OH]
2082417254,371,[O-]
3452116591,372,[Na+]
3321722002,373,[C][CH]([CH])[NH]
3251373328,374,[CH][C](=[O])[O-]
3022818175,375,[C][O-]
2892200800,376,[CH][CH]([CH3])[CH3]
3723610781,377,[Na+]
1957747910,378,[C][CH]([CH])[NH][C]([CH2])=[O]
3713252146,379,[C][NH][CH]([C](=[O])[O-])[CH]([CH3])[CH3]
541810107,380,[CH][CH]([NH])[C](=[O])[O-]
2586996621,381,[C][CH]([NH])[CH]([CH3])[CH3]
786217196,382,[CH][CH2][CH]
3696080565,383,[C][NH][CH]([CH2][CH])[C](=[O])[O-]
3959810947,384,[C][CH]([NH])[CH2][CH]([CH3])[CH3]
2586652992,385,[CH][CH2][CH]([CH3])[CH3]
2153050381,386,[CH2][CH]([NH])[C](=[O])[O-]
25359439,387,[S]
143115241,388,[O-]
3288774080,389,[CH2][CH2][S]
559561749,390,[CH2][S](=[O])(=[O])[O-]
3793010329,391,[O]=[S]
948261548,392,[O-][S]
1379114443,393,[CH2][CH2][CH2][CH2][S]
3801297949,394,[CH2][CH2][CH2][S](=[O])(=[O])[O-]
583965603,395,[CH2][CH2][S](=[O])(=[O])[O-]
785852987,396,[Li+]
555433373,397,[Li+]
1218236502,398,[NH4+]
3881350886,399,[NH4+]
864961746,400,[K+]
3227148225,401,[K+]
3139822450,402,[CH2][O][S]
4169460189,403,[O]=[S](=[O])([O-])[O]
3788629559,404,[CH2][CH2][CH2][O][S]
2500116260,405,[CH2][CH2][O][S](=[O])(=[O])[O-]
2403922819,406,[CH2][O][S](=[O])(=[O])[O-]
2429873576,407,[CH][O][S]
2093002941,408,[CH3][N+]([CH3])([CH3])[CH3]
1417599018,409,[CH2][CH2][CH]([CH2][CH3])[O][S]
796933837,410,[CH2][CH]([CH2])[O][S](=[O])(=[O])[O-]
130298507,411,[CH][O][S](=[O])(=[O])[O-]
266954586,412,[O]=[S](=[O])([O-])[CH2][CH2][O]
2856973088,413,[O][CH2][CH2][O][S]
3469982137,414,[CH2][CH]([CH2])[CH2]
1074853702,415,[CH2][CH2][CH2][CH]([CH2])[CH2]
3863022917,416,[CH2][CH2][CH]([CH2][CH2])[CH2][O]
3990257242,417,[CH2][O][CH2][CH]([CH2])[CH2]
3006782345,418,[CH][CH2][O][CH2][CH2]
2305537368,419,[C][CH2][S]
1259662514,420,[CH2][CH2][CH2][CH2][O]
1801815853,421,[C][O][CH2][CH2][CH2]
591232293,422,[CH2][CH2][O][C]([CH2])=[O]
1267725339,423,[CH2][O][C](=[O])[CH2][S]
2902497525,424,[O]=[C]([O])[CH2][S](=[O])(=[O])[O-]
775589420,425,[C][CH2][S](=[O])(=[O])[O-]
2783401914,426,[C][CH2][CH]
2467778454,427,[C][CH]([CH2])[S]
211481179,428,[CH][S](=[O])(=[O])[O-]
4283370773,429,[CH3][CH2][CH2][CH2][O]
3974553930,430,[CH][CH2][C](=[O])[O][CH2]
2663566921,431,[C][CH]([S])[CH2][C](=[O])[O]
4212541494,432,[C][CH2][CH]([C](=[O])[O])[S](=[O])(=[O])[O-]
3695472099,433,[CH2][O][C](=[O])[CH]([CH2])[S]
1857740042,434,[CH3][CH2][CH2][CH2][O]
76339592,435,[C][CH]([CH2])[S](=[O])(=[O])[O-]
2132682886,436,[CH2][CH2][CH2][CH2][O]
164063215,437,[CH3][CH2][CH2][CH2][CH]
1679420352,438,[CH2][CH2][CH]([CH2][CH3])[CH2][O]
3204403125,439,[CH3][CH2][CH]([CH2])[CH2]
2361516328,440,[C][O][CH2][CH]([CH2])[CH2]
101638082,441,[CH][CH2][O][C]([CH])=[O]
908376279,442,[CH3][CH2][CH]([CH2][CH2])[CH2][O]
2676911214,443,[CH3][CH2][O]
756211591,444,[C][CH]([S])[CH2][CH2][CH2]
3059922128,445,[CH2][CH2][CH]([C](=[O])[O])[S](=[O])(=[O])[O-]
2187480152,446,[CH3][CH2][O][C]([CH])=[O]
3760148635,447,[C][O][CH2][CH3]
1004529331,448,[C][C](=[O])[O-]
1994536978,449,[C][C]([C])([F])[F]
62806935,450,[C][C]([F])([F])[C](=[O])[O-]
4044489879,451,[C][C]([F])([F])[C]([F])([F])[C](=[O])[O-]
3688788511,452,[C][C]([F])([F])[C]([F])([F])[C]([C])([F])[F]
3896180751,453,[C][C]([C])([C])[F]
3030245936,454,[C][C]([C])([F])[C]([F])([F])[C]([C])([F])[F]
2671810713,455,[C][C]([F])([F])[C]([F])([C]([F])([F])[F])[C]([F])([F])[F]
2750005640,456,[C][C]([C])([F])[C]([F])([F])[F]
4136178168,457,[C][S](=[O])(=[O])[O-]
38000535,458,[C][C]([F])([F])[S]
350061662,459,[C][C]([F])([F])[S](=[O])(=[O])[O-]
442880357,460,[C][C]([F])([F])[C]([F])([F])[S](=[O])(=[O])[O-]
203314278,461,[C][C]([F])([F])[C]([F])([F])[C]([F])([F])[S]
2694491829,462,[C][O][CH3]
2118281615,463,[CH3][O]
3500425073,464,[CH3][O][C](=[O])[CH]([CH2])[S]
3948548434,465,[CH3][O][C]([CH])=[O]
3820866657,466,[C][CH2][N+]
3960261470,467,[CH2][C](=[O])[O-]
2198875803,468,[C][CH2][N+]([CH3])([CH3])[CH2][CH2]
2623402620,469,[CH2][N+]([CH3])([CH3])[CH2][C](=[O])[O-]
3420594016,470,[N+][CH2][C](=[O])[O-]
2615745265,471,[C][CH2][CH2][CH2][N+]
2293285458,472,[CH2][CH2][CH2][C](=[O])[O-]
1806262150,473,[CH2][CH2][C](=[O])[O-]
2894374256,474,[C][CH]([CH2])[n+]
484558409,475,[cH][n+]([cH])[CH]
2013151618,476,[C][CH]([n+])[CH2][CH2][CH2]
1521919320,477,[cH][n+]([cH])[CH]([CH2][CH2])[C](=[O])[O-]
1691384989,478,[CH2][CH]([n+])[C](=[O])[O-]
469042018,479,[C][CH]([CH2])[n+]([cH][cH])[cH][cH]
3959902490,480,[cH][cH][cH][n+]([cH])[CH]
538663756,481,[N+][CH2][CH2][CH2][S]
2464993955,482,[CH2][CH2][CH]([CH3])[O][S]
593521759,483,[CH2][CH]([CH3])[O][S](=[O])(=[O])[O-]
3526348284,484,[CH2][CH2][CH]([CH2][CH2])[O][S]
3047967830,485,[OH]
3009818485,486,[CH2][C](=[O])[OH]
878571660,487,[C][OH]
388916357,488,[C][CH2][CH2][CH3]
1312710566,489,[CH3][CH2][CH2][C](=[O])[OH]
3870785572,490,[CH2][CH2][C](=[O])[OH]
1070016546,491,[c][CH2][CH2]
1331013553,492,[cH][c]([cH])[S]
2650064217,493,[c][S](=[O])(=[O])[O-]
4160164270,494,[c][CH2][CH2][CH2][CH2]
2235928868,495,[cH][c]([cH])[CH2][CH2][CH2]
4128661857,496,[cH][cH][c]([cH][cH])[CH2][CH2]
124492298,497,[c][cH][cH][c]([cH])[CH2]
345516751,498,[c][cH][cH][c]([cH])[S]
871016382,499,[cH][cH][c]([cH][cH])[S](=[O])(=[O])[O-]
406833608,500,[cH][c]([cH])[S](=[O])(=[O])[O-]
4147837068,501,[Cl]
3335290418,502,[CH2][CH]([CH])[Cl]
402589879,503,[CH][Cl]
2232104000,504,[CH2][CH2][CH2][CH]([CH])[Cl]
1776910650,505,[CH2][CH2][CH]([Cl])[CH]([CH2])[Cl]
685196495,506,[cH][c]([c])[CH2]
2958703329,507,[c][c]([cH])[S]
3953341340,508,[cH][c]([c])[CH2][CH2][CH2]
1924490039,509,[cH][cH][c]([CH2][CH2])[c]([cH])[S]
2997413541,510,[cH][cH][cH][c]([c])[CH2]
2707117664,511,[cH][cH][cH][c]([c])[S]
2763658541,512,[cH][cH][c]([c]([cH])[CH2])[S](=[O])(=[O])[O-]
1510572037,513,[c][c]([cH])[S](=[O])(=[O])[O-]
2661736763,514,[CH][C](=[O])[OH]
3185657995,515,[CH][S](=[O])(=[O])[OH]
742319307,516,[OH][S]
3679035539,517,[CH2][CH2][CH]([C](=[O])[OH])[S](=[O])(=[O])[OH]
1653582105,518,[CH2][CH]([S])[C](=[O])[OH]
3452765667,519,[C][CH]([CH2])[S](=[O])(=[O])[OH]
2160490821,520,[C][O][CH2][CH2][S]
199267337,521,[O]=[S](=[O])([O-])[CH2][CH2][O]
896371075,522,[CH2][S](=[O])(=[O])[OH]
14304074,523,[CH2][CH2][CH2][S](=[O])(=[O])[OH]
3058986608,524,[CH2][CH2][S](=[O])(=[O])[OH]
332384113,525,[CH3][CH]([CH3])[CH2][O]
3023649056,526,[C][O][CH2][CH]([CH3])[CH3]
2186057460,527,[c][CH2][N+]([CH3])([CH3])[CH3]
3376765918,528,[cH][c]([cH])[CH2][N+]([CH3])([CH3])[CH3]
915654391,529,[c][cH][c]
2749271213,530,[cH][cH][c]([cH][c])[CH2][CH2]
4062608866,531,[c][cH][cH][cH][c]
1095812867,532,[cH][cH][cH][c]([cH])[S]
1713523314,533,[c][cH][c]([cH][cH])[S](=[O])(=[O])[O-]
71203534,534,[cH][c]([CH2])[cH][c]([cH])[S]
3674161456,535,[Mg+2]
621952749,536,[Mg+2]
1272210415,537,[CH2][CH]([CH3])[O]
3447456111,538,[CH3][CH]([CH3])[CH2][CH]([CH3])[O]
2048574825,539,[C][O][CH]([CH3])[CH2][CH]
2363979157,540,[CH2][C](=[O])[O][CH]([CH2])[CH3]
1524857990,541,[CH][CH2][C](=[O])[O][CH]
1782706223,542,[CH][O][C](=[O])[CH]([CH2])[S]
3716994543,543,[CH][C](=[O])[O][CH]([CH3])[CH2]
2963803434,544,[CH3][CH]([CH3])[CH2][CH]([CH3])[O]
1689584280,545,[C][C](=[O])[OH]
3197915902,546,[C][C]([CH])([F])[F]
4142309346,547,[C][CH]([F])[F]
3041210955,548,[CH][F]
2392884277,549,[C][C]([F])([F])[C](=[O])[OH]
1243820954,550,[C][C]([F])([F])[C]([F])([F])[C](=[O])[OH]
2153518407,551,[C][C]([F])([F])[C]([F])([F])[C]([CH])([F])[F]
1625698519,552,[C][C]([F])([F])[C]([F])([F])[CH]([F])[F]
1689795932,553,[C][C]([F])([F])[CH]([F])[F]
524714601,554,[CH3][CH2][N+]([CH3])([CH3])[CH3]
2246907571,555,[CH3][CH2][CH2][CH2][N+]
3573421554,556,[NH3+]
226748839,557,[CH3][NH3+]
3893364355,558,[CH3][NH3+]
3964660806,559,[CH3][CH2][NH3+]
3868144824,560,[CH2][NH3+]
1477709281,561,[CH2][CH2][NH3+]
1611749325,562,[CH3][CH2][CH2][CH2][NH3+]
739778197,563,[CH2][CH2][CH2][NH3+]
3561666154,564,[CH2][CH2][CH2][CH2][NH3+]
3113070766,565,[CH][CH2][S]
2533991298,566,[CH2][CH2][CH]([CH2][CH2])[CH2][S]
2737713173,567,[CH2][CH]([CH2])[CH2][S](=[O])(=[O])[O-]
1276216540,568,[CH][CH2][S](=[O])(=[O])[O-]
328359259,569,[C][CH]([CH2])[CH]
4227756643,570,[C][CH]([C])[CH]
3922941137,571,[C][CH]([CH])[CH2][CH2][CH2]
155988671,572,[C][CH]([C])[CH]([CH2][CH2])[C](=[O])[O-]
1693040811,573,[CH2][CH]([CH])[C](=[O])[O-]
2957630513,574,[C][CH]([CH2])[CH]([C](=[O])[O-])[C](=[O])[O-]
2431079098,575,[C][CH]([CH])[C](=[O])[O-]
2736040354,576,[C][C]([F])([F])[F]
3987114041,577,[O]=[C]([OH])[C]([F])([F])[F]
1312820421,578,[O]=[C]([OH])[C]([F])([F])[C]([F])([F])[F]
2229066449,579,[C][C]([F])([F])[C]([F])([F])[F]
3753725248,580,[C][C]([F])([F])[C]([F])([F])[C]([F])([F])[F]
98935059,581,[C][C]([C])([F])[Cl]
556818971,582,[C][Cl]
2888322806,583,[C][C]([F])([F])[Cl]
2373972017,584,[C][C]([F])([Cl])[C]([F])([F])[C](=[O])[OH]
1392261734,585,[C][C]([F])([F])[C]([F])([Cl])[C]([F])([F])[Cl]
2856515848,586,[C][C]([F])([Cl])[C]([F])([F])[Cl]
3727851279,587,[C][C]([F])([F])[C]([F])([Cl])[C]([C])([F])[F]
2895045172,588,[C][C]([F])([Cl])[C]([F])([F])[C]([C])([F])[Cl]
2643275814,589,[C][C]([F])([F])[C]([F])([Cl])[C]([F])([F])[Cl]
289633615,590,[C][C]([F])([F])[C]([F])([Cl])[C]([C])([F])[F]
3089800925,591,[C][O][CH2][CH]([CH2])[OH]
568483321,592,[O][CH2][CH]([OH])[CH2][O]
1102086017,593,[CH2][CH]([OH])[CH2][O][S]
3099881834,594,[CH][CH2][O][S](=[O])(=[O])[O-]
94715735,595,[Mn+2]
4222875273,596,[Mn+2]
2025227050,597,[Cs+]
3791242671,598,[Cs+]
1040872489,599,[O]=[S](=[O])([O-])[O-]
594827437,600,[C][CH]([C])[CH2]
1659419527,601,[C][CH]([C])[CH2][CH2][CH2]
1979569716,602,[CH2][CH2][CH]([C](=[O])[O-])[C](=[O])[O-]
113429083,603,[C][CH]([CH2])[C](=[O])[O-]
432675792,604,[cH][cH][c]([cH][c])[C]([CH2])([CH3])[CH3]
1264833250,605,[cH][cH][cH][c]([cH])[C]
4225018528,606,[cH][c]([C])[cH][c]([cH])[S]
1543262749,607,[c][cH][c]([cH][c])[C]([CH2])([CH3])[CH3]
4058496833,608,[cH][c]([C])[cH][c]([cH])[C]
3840073358,609,[c][C]([CH3])([CH3])[CH2][C]([CH3])([CH3])[CH3]
968770203,610,[cH][c]([C])[cH][c]([cH])[S]
605291455,611,[c][cH][c]([cH][c])[S](=[O])(=[O])[O-]
3713539007,612,[c][C]([CH3])([CH3])[CH2][CH2][CH2]
1199783565,613,[cH][c]([cH])[C]([CH3])([CH3])[CH2][CH2]
3298282759,614,[CH2][CH2][CH]([CH2][CH2])[CH2][CH2]
1861799637,615,[c][CH2][CH2][CH]([CH2])[CH2]
2660408438,616,[cH][c]([cH])[CH2][CH2][CH]
2432363778,617,[c][CH2][CH]
1652123312,618,[CH2][CH2][CH]([CH3])[CH2][CH]
3017063849,619,[CH2][CH]([CH3])[CH2][CH]([CH2])[CH2]
2056480818,620,[c][CH2][CH]([CH2][CH])[CH2][CH2]
3326206608,621,[CH3][CH2][CH2][CH]([CH2])[CH2]
298809191,622,[cH][c]([cH])[CH2][CH]([CH2])[CH2]
2810036507,623,[cH][cH][c]([cH][cH])[CH2][CH]
