,SMILES,log CMC,traintest,pred,type,err,Molecules,Molecule name,Molecule weight,Average temperature,CMC (M),Convertable,Component 1,Component 2
0,CCCCCCCCC(O)CO,3.361727836,train,3.284244,nonionic,0.0060037354631995,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A17060>,,,,,,-0.6649377409324791,-0.10041860346626058
1,CCCCCCCCC(O)CCO,3.361727836,train,3.2403183,nonionic,0.0147402758348529,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A15A80>,,,,,,-0.6614604899630604,-0.10095150861961322
2,CCCCCCCCCCCCC(O)CCO,1.113943352,train,1.1944386,nonionic,0.0064794811992303,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A176F0>,,,,,,-0.6371438049667181,-0.09575227435066644
3,CCCCCCCCOCCO,3.69019608,train,3.6691136,nonionic,0.0004444694443028,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A17370>,,,,,,-0.6456766724588168,-0.09387926643662446
4,CCCCCCCCOCCOCCOCCO,3.875061263,train,3.8572426,nonionic,0.0003175053131613,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A15F50>,,,,,,-0.656497378324164,-0.09707321156740534
5,CCCCCCCCOCCOCCOCCOCCOCCO,3.963787827,train,3.953247,nonionic,0.000111107551545,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A16B90>,,,,,,-0.6573128949909747,-0.09573359477213335
6,CCCCCCCCOCCOCCOCCOCCOCCOCCO,3.995635195,train,3.9586515,nonionic,0.0013677905401416,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A16E30>,,,,,,-0.6538215663972441,-0.09328231907324788
7,CCCCCCCCCCOCCOCCOCCOCCO,2.8325089130000003,train,2.697473,nonionic,0.0182346845219838,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A16CE0>,,,,,,-0.6628077742001609,-0.10231705464747952
8,CCCCCCCCCCOCCOCCOCCOCCOCCO,2.880813592,test,2.8376794,nonionic,0.0018605597152663,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A15310>,,,,,,-0.6621594643940246,-0.1011339109316749
9,CCCCCCCCCCOCCOCCOCCOCCOCCOCCO,2.954242509,train,2.9921823,nonionic,0.0014394243107054,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A17300>,,,,,,-0.6588476023418035,-0.0987222180347374
10,CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,3.0,train,2.9464297,nonionic,0.0028697738855498,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A168F0>,,,,,,-0.6453126766954607,-0.09071679108163598
11,CCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,2.477121255,train,2.4155352,nonionic,0.0037928407462104,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A15690>,,,,,,-0.6429459949762576,-0.09107176837791335
12,CCCCCCCCCCCCOCCOCCO,1.51851394,train,1.5692351,nonionic,0.0025726346962934,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A14270>,,,,,,-0.6452331058924453,-0.0989574462861733
13,CCCCCCCCCCCCOCCOCCOCCO,1.716003344,train,1.6006217,nonionic,0.0133129237059447,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A14DD0>,,,,,,-0.6500948743479213,-0.10033431511107678
14,CCCCCCCCCCCCOCCOCCOCCOCCO,1.806179974,test,1.6461127,nonionic,0.025621538469166,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A15540>,,,,,,-0.652498414873625,-0.10055118925365149
15,CCCCCCCCCCCCOCCOCCOCCOCCOCCO,1.806179974,train,1.7074666,nonionic,0.0097443297473599,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A16570>,,,,,,-0.652376953067391,-0.09958366610639685
16,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,1.913813852,train,1.911649,nonionic,4.686633004834184e-06,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A146D0>,,,,,,-0.6446664694058434,-0.09417147807232895
17,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,2.0374264980000003,train,1.9000925,nonionic,0.0188606317949973,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A15BD0>,,,,,,-0.6373318102644224,-0.08985827978532193
18,CCCCCCCCCCCCCOCCOCCOCCOCCOCCO,1.69019608,train,1.0863496,nonionic,0.3646305635415062,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A17BC0>,,,,,,-0.6422311540692639,-0.09626049235804045
19,CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,1.431363764,train,1.3871768,nonionic,0.0019524920214943,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A17ED0>,,,,,,-0.6286081939206952,-0.08712370084180839
20,CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,1.0,train,0.64704585,nonionic,0.1245766314701199,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A16500>,,,,,,-0.6274053161525585,-0.08972005096842607
21,CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.954242509,train,0.926645,nonionic,0.0007616235568196,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A161F0>,,,,,,-0.6172367800759551,-0.0830675064487006
22,CCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.544068044,train,0.5070922,nonionic,0.0013672146762197,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A158C0>,,,,,,-0.6036146165473969,-0.07786804365369794
23,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,0.220108088,train,0.047548473,nonionic,0.0297768207699079,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A167A0>,,,,,,-0.596165471329091,-0.07744509681302794
24,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,0.230448921,train,0.113765955,nonionic,0.0136149145612516,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A140B0>,,,,,,-0.593034108120679,-0.07499804160520646
25,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.322219295,train,0.36898327,nonionic,0.0021868692397489,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A14200>,,,,,,-0.5813689225908675,-0.06752924565751021
26,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.361727836,test,0.4445942,nonionic,0.0068668350160823,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A16490>,,,,,,-0.5540417283274273,-0.05144969681313506
27,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.4913616939999999,train,0.47900456,nonionic,0.0001526987137098,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A16B20>,,,,,,-0.5197903850021293,-0.03159978077582919
28,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.5910646070000001,train,0.54269004,nonionic,0.0023400988600466,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A16FF0>,,,,,,-0.44301925228165845,0.014183769069273978
29,CCCCCCCCCCCC(=O)N(CCO)CCO,2.421603927,train,2.2256155,nonionic,0.0384114629676738,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A16F10>,,,,,,-0.665782948646377,-0.10276985281341543
30,OCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.397940009,train,3.5434766,nonionic,0.0211808939564377,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A17290>,,,,,,-0.4407242092829675,0.023959423982291266
31,OCCOCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.4471580310000003,test,3.619286,nonionic,0.0296280584821487,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A16A40>,,,,,,-0.43914868182541794,0.025729652737641627
32,OCCOCCOCCOCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.568201724,train,3.7408032,nonionic,0.0297912839226085,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A163B0>,,,,,,-0.4333507510860756,0.030361372987412316
33,OCCOCCOCCOCCOCCOCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.681241237,train,3.816081,nonionic,0.0181817743765059,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A14EB0>,,,,,,-0.4244558471353521,0.03638701338162044
34,CCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,4.919078092,train,4.7453995,nonionic,0.0301642619691108,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A178B0>,,,,,,-0.6130619205895159,-0.05763375934156137
35,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,2.51851394,train,2.4833918,nonionic,0.0012335674029325,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A14B30>,,,,,,-0.13812063271556316,0.39630629448995414
36,CC(C)(C)CC(C)(C)c1ccc(OCCOCCO)cc1,2.113943352,train,2.1042469,nonionic,9.40220582966499e-05,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A14C10>,,,,,,-0.13721722556370833,0.3918834044261584
37,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCO)cc1,1.986771734,train,2.1030426,nonionic,0.0135189148708279,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A16C70>,,,,,,-0.13831522215207714,0.3942706862793138
38,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCO)cc1,2.113943352,train,2.1523724,nonionic,0.0014767886735023,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A15770>,,,,,,-0.1391330971713663,0.3961393526736792
39,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCO)cc1,2.176091259,train,2.2032099,nonionic,0.0007354194429979,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A14190>,,,,,,-0.13966917174731008,0.39748577348983527
40,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCO)cc1,2.322219295,train,2.2456942,nonionic,0.0058560962161468,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A17C30>,,,,,,-0.1399225767752684,0.39830701285786
41,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCO)cc1,2.397940009,train,2.3323913,nonionic,0.0042966382261326,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A14580>,,,,,,-0.13989326022770168,0.39860083996328216
42,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCO)cc1,2.447158031,train,2.4087071,nonionic,0.0014784708744091,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A159A0>,,,,,,-0.13958198496061808,0.3983657375058974
43,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,2.477121255,test,2.4474244,nonionic,0.0008819024976085,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A16110>,,,,,,-0.13899032331721872,0.3976009117340895
44,CCCCCCCCC=CCCCCCCCC(=O)OC1(OC2(CO)OC(CO)C(O)C2O)OC(CO)C(O)C(O)C1O,0.7075701759999999,train,0.6024876,nonionic,0.0110423427996562,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A14890>,,,,,,-0.44096515658821406,0.027171571330349958
45,CCCCCCCCCC(=O)CC(=O)NC1CCOC1=O,1.986771734,train,1.9484068,nonionic,0.0014718669692964,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A15FC0>,,,,,,-0.4391152360330269,0.022035044629886917
46,CCCCCC(=O)CC(=O)NC1CCOC1=O,3.336459734,train,3.279521,nonionic,0.0032420207431728,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A16260>,,,,,,-0.42522054814321175,0.034738004988321
47,CCCCCCCCCCCC(=O)NC1CCOC1=O,0.602059991,train,0.59021795,nonionic,0.0001402339833635,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A17D10>,,,,,,-0.49418212258969063,-0.013399428555240562
48,CCCCCCCCCCCCCCCC(=O)NC1CCOC1=O,-0.795880017,train,-1.0323375,nonionic,0.0559121631856306,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A15D90>,,,,,,-0.47447088446131463,-0.009090029292632513
49,CCCCCCCCOCC(O)CO,3.763427994,train,3.7424865,nonionic,0.0004385471385252,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A17450>,,,,,,-0.6649652792432516,-0.09933822101555571
50,CCCCCCCCOC1OC(CO)C(O)C(O)C1O,4.397940009,train,4.182318,nonionic,0.0464927599444711,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A16DC0>,,,,,,-0.674549528067428,-0.10053516204588193
51,CCCCOCC(O)C(O)C(O)CO,4.763427994,train,4.5831633,nonionic,0.0324953738144555,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A14E40>,,,,,,-0.619452873893638,-0.06525458323317793
52,CCCCCCCCCC(=O)OCC(O)C(O)C(O)CO,3.255272505,train,3.188056,nonionic,0.0045180596028781,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A149E0>,,,,,,-0.6276394582286313,-0.0721565033614251
53,CCCCCCC(=O)OCC(O)C(O)C(O)CO,4.0,train,4.112757,nonionic,0.0127141874966127,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A14BA0>,,,,,,-0.607577710563428,-0.05820467885941038
54,CCCCCCCOCC(O)C(O)C(O)CO,3.963787827,test,3.9240732,nonionic,0.0015772500648191,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A15460>,,,,,,-0.6561252952226099,-0.08841611049611774
55,CCCCCC(=O)OCC(O)C(O)C(O)CO,4.763427994,train,4.6680546,nonionic,0.0090960879666906,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A17990>,,,,,,-0.5957211944852823,-0.05123115199001671
56,CCCCCCOCC(O)C(O)C(O)CO,3.973127854,train,3.817071,nonionic,0.0243537538532706,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A16810>,,,,,,-0.6464122851338043,-0.08239349116312213
57,CCCCCCCCC(=O)OCC(O)C(O)C(O)CO,3.643452676,test,3.7066336,nonionic,0.0039918250899142,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A155B0>,,,,,,-0.6238340126414954,-0.06880392032300033
58,CCCCCCCCCOCC(O)C(O)C(O)CO,3.322219295,train,3.3658113,nonionic,0.0019002670813917,<rdkit.Chem.rdchem.Mol object at 0x00000258C9B31CB0>,,,,,,-0.6641824319544295,-0.09532044153498292
59,CCCCCCCC(=O)OCC(O)C(O)C(O)CO,4.255272505,train,3.9471827,nonionic,0.094919355466927,<rdkit.Chem.rdchem.Mol object at 0x00000258C9B33ED0>,,,,,,-0.6170572917255106,-0.0641119274244773
60,CCCCCCCCOCC(O)C(O)C(O)CO,3.826074803,train,3.838194,nonionic,0.0001468723529139,<rdkit.Chem.rdchem.Mol object at 0x00000258C9B31380>,,,,,,-0.6620486996001144,-0.09273599694969781
61,CCCCC(=O)OCC(O)C(O)C(O)CO,5.079181246,train,5.3023543,nonionic,0.0498062280041444,<rdkit.Chem.rdchem.Mol object at 0x00000258C9B30F20>,,,,,,-0.5816859149121445,-0.0423768856794889
62,CCCCCOCC(O)C(O)C(O)CO,4.579783597,train,4.426637,nonionic,0.0234538272761895,<rdkit.Chem.rdchem.Mol object at 0x00000258C9B326C0>,,,,,,-0.6333911208109938,-0.07490266146915166
63,CCCCSCC(O)C(O)C(O)CO,5.255272505,train,5.1625586,nonionic,0.0085958764127843,<rdkit.Chem.rdchem.Mol object at 0x00000258C9B33220>,,,,,,-0.6350839080188313,-0.07556325628986774
64,CCCCCSCC(O)C(O)C(O)CO,4.662757832,train,4.675654,nonionic,0.0001663094591426,<rdkit.Chem.rdchem.Mol object at 0x00000258C9B32F10>,,,,,,-0.6467699911498752,-0.08322800559364865
65,CCCCCC(CCCC)OC1OC(CO)C(O)C(O)C1O,4.176091259,train,4.2541385,nonionic,0.0060913670974328,<rdkit.Chem.rdchem.Mol object at 0x00000258C9B31A10>,,,,,,-0.6523155469404951,-0.07930275051403045
66,CCCCCCCC(CC)OC1OC(CO)C(O)C(O)C1O,3.929418926,train,3.9631906,nonionic,0.0011405229639827,<rdkit.Chem.rdchem.Mol object at 0x00000258C9B32C00>,,,,,,-0.630159646283634,-0.0632264613829303
67,CCCCCCCCC(C)OC1OC(CO)C(O)C(O)C1O,3.653212514,train,3.4748392,nonionic,0.0318170353978449,<rdkit.Chem.rdchem.Mol object at 0x00000258C9B32F80>,,,,,,-0.6602417267830983,-0.08483554691960608
68,CCCCCCC(CCC)OC1OC(CO)C(O)C(O)C1O,4.079181246,test,4.2755446,nonionic,0.0385585838392948,<rdkit.Chem.rdchem.Mol object at 0x00000258C9B305F0>,,,,,,-0.6500937433630714,-0.07758790732627913
69,CCCCCCCCCCCC(=O)OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,2.51851394,train,2.530078,nonionic,0.0001337259633641,<rdkit.Chem.rdchem.Mol object at 0x00000258C9B32FF0>,,,,,,-0.6228141774097513,-0.06907858717458401
70,CCCCCCCC(CCCCCC)SCCC(=O)OCC1(O)C(O)C(O)C(O)C1O,0.7993405490000001,train,0.7082222,nonionic,0.0083025516279017,<rdkit.Chem.rdchem.Mol object at 0x00000258C9B32570>,,,,,,-0.58017057114425,-0.047698269905167096
71,CCCCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,3.826074803,train,3.606759,nonionic,0.0480993901491319,<rdkit.Chem.rdchem.Mol object at 0x00000258C9B33680>,,,,,,-0.6598812537185066,-0.08926992991302328
72,CCCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,4.322219295,test,4.084682,nonionic,0.0564239723296656,<rdkit.Chem.rdchem.Mol object at 0x00000258C9B33990>,,,,,,-0.6549189362509492,-0.08544322560848404
73,CCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,4.838849091,train,4.714496,nonionic,0.0154636574889414,<rdkit.Chem.rdchem.Mol object at 0x00000258C9B317E0>,,,,,,-0.6462379263607724,-0.07995126008695835
74,CCCCCCCCCCCC(=O)OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,2.977723605,train,2.9766302,nonionic,1.195510709381203e-06,<rdkit.Chem.rdchem.Mol object at 0x00000258C9B32C70>,,,,,,-0.5848878278294223,-0.04570908686831848
75,CCCCCCCCCCCC(=O)OCC1OC(OCC2OC(OCC3OC(OC4(CO)OC(CO)C(O)C4O)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,3.361727836,train,3.2954545,nonionic,0.0043921547854636,<rdkit.Chem.rdchem.Mol object at 0x00000258C9B31070>,,,,,,-0.5228791059864725,-0.009385866880986018
76,CCCCCCCCCCCC(=O)OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,2.662757832,train,2.5583057,nonionic,0.0109102394487135,<rdkit.Chem.rdchem.Mol object at 0x00000258C9B30C80>,,,,,,-0.6219465401978412,-0.0695764307736155
77,CCCCCCCCCCSCC(O)C(O)C(O)CO,2.602059991,train,2.5531292,nonionic,0.0023942226829899,<rdkit.Chem.rdchem.Mol object at 0x00000258C9B33300>,,,,,,-0.6554410733425386,-0.09514781580434732
78,CCCCCCCCCCSC1OC(=O)C(O)C1O,1.51851394,train,1.4228421,nonionic,0.0091530923650037,<rdkit.Chem.rdchem.Mol object at 0x00000258C9B33AE0>,,,,,,-0.5709837687060181,-0.05428283736239885
79,CCCCCCSCC(O)C(O)C(O)CO,4.079181246,train,4.0485787,nonionic,0.0009365134245091,<rdkit.Chem.rdchem.Mol object at 0x00000258C9B30040>,,,,,,-0.6561045946759426,-0.08909214060108833
80,CCCCCCSC1OC(=O)C(O)C1O,3.826074803,test,3.963265,nonionic,0.0188211342852615,<rdkit.Chem.rdchem.Mol object at 0x00000258C9B31000>,,,,,,-0.5617770839042527,-0.0439390528889883
81,CCCCCCCCSCC(O)C(O)C(O)CO,3.079181246,train,3.2846437,nonionic,0.0422147994800319,<rdkit.Chem.rdchem.Mol object at 0x00000258C9B315B0>,,,,,,-0.6633938823032062,-0.09566018322788086
82,CCCCCCCCSC1OC(=O)C(O)C1O,2.681241237,train,2.5351217,nonionic,0.0213509251406813,<rdkit.Chem.rdchem.Mol object at 0x00000258C9B32110>,,,,,,-0.5709787440067355,-0.05126361691149894
